encoding,loss_function,regularisation,architecture,Average - validation_mse,Average - corresponding_train_mse,Average - validation_mae,Average - corresponding_train_mae,Average - validation_mape,Average - corresponding_train_mape,Average - epoch,Count - epoch
,mse,do,core,2.45715969315089E+015,3.37685969650756E+015,26355030,31097123.3333333,874.758138020833,1000.54182942708,2,3
,,,deep_narrow,2.39105312799676E+015,2918297670516736,22739416.5,29527976,667.661997477213,956.778991699219,31,3
,,,deep_wide,1247172855070720,3386980071112704,14292364.8333333,29876014.6666667,374.375918070475,1003.2939453125,28.6666666666667,3
,,,shallow_wide,2.61350621114095E+015,2655657199140864,26726830.6666667,30212748.6666667,936.578450520833,1240.47875976563,7,3
,,l1,core,2.43921939105929E+015,2.96389930682505E+015,26193625.3333333,29813727.3333333,936.029134114583,988.514119466146,2,3
,,,deep_narrow,2713447326285824,3007148464275456,27218575.3333333,30206742.6666667,788.709798177083,1028.9678141276,0.666666666666667,3
,,,deep_wide,3.36010878718225E+015,3150311535411200,30151722,30652458.6666667,904.800659179688,954.271057128906,0,3
,,,shallow_wide,2.35278639545276E+015,2.85859350909201E+015,25538580.6666667,30899489.3333333,868.364685058594,1097.6835530599,5.33333333333333,3
,,l2,core,2803509971910656,2.89869311333717E+015,28112038,30302388.6666667,993.610595703125,1050.66794840495,1.33333333333333,3
,,,deep_narrow,3.11872563008853E+015,2986515441385472,28768938,29923194,858.075744628906,939.844360351563,0.333333333333333,3
,,,deep_wide,1.77410813757577E+015,2.90180812784708E+015,22895428.6666667,29250742.6666667,671.736022949219,1070.00227864583,1.33333333333333,3
,,,shallow_wide,2.14694203472828E+015,2.76936959004945E+015,24586460.6666667,30336914,816.122762044271,1139.16780598958,6.66666666666667,3
,,no,core,3077267697696768,2579071087149056,29404436,30044484,1093.93780517578,1125.49615478516,1,2
,,,deep_narrow,2884640293519360,2776093048176640,28018523,29071211,824.041809082031,1036.23486328125,0.5,2
,,,deep_wide,2800169292660736,3111015269007360,27665821,28158187,804.819183349609,793.690246582031,0.5,2
,,,shallow_wide,2164398370062336,3493211792211968,25125550,31826218,831.414764404297,1149.30694580078,8,m
